Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2020/12/08,19041.685,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2020/11/10,19041.63,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2020/10/13,19041.572,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2020/09/08,19041.508,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2020/08/11,19041.45,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2020/07/14,19041.388,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2020/06/09,19041.329,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2020/05/27,19041.264,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2020/04/16,19041.208,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/07/13,19041.111,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/07/14,18363.959,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/06/09,18363.9,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/05/12,18363.836,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/04/14,18363.778,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/03/12,18363.72,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/02/11,18363.657,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/01/14,18363.592,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2019/12/10,18363.535,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2019/10/05,18363.418,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2021/04/13,18363.15,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2021/03/09,18363.144,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2020/07/14,18362.959,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2020/05/12,18362.836,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2020/03/12,18362.72,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2020/02/11,18362.657,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2019/12/10,18362.535,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2019/11/12,18362.476,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2019/09/10,18362.356,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2019/03/29,18362.3,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2019/07/09,18362.239,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2019/06/11,18362.175,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1809,Pro,2020/01/14,17763.973,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1809,Pro,2019/12/10,17763.914,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1809,Pro,2019/11/12,17763.864,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,1809,Pro,2019/10/08,17763.805,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
