Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,Write Buffer,Session,Windows 11,22H2,Pro,2022/12/20,22621.963,Session '{SessionName}' failed to write to log file '{FileName}' with the following error: {ErrorCode},{SessionName} | {FileName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/12/20,19044.2364,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/11/15,19044.2251,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/10/18,19044.213,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/09/20,19044.2006,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/08/16,19044.1889,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/07/19,19044.1826,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/06/21,19044.1766,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/05/17,19044.1706,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/04/19,19044.1645,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2022/01/11,19044.1466,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2021/10/12,19044.1288,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2021/04/13,19043.928,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/12/20,19043.2364,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/11/15,19043.2251,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/10/18,19043.213,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/09/20,19043.2006,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/08/16,19043.1889,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/07/19,19043.1826,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/06/21,19043.1766,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/05/17,19043.1706,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/04/19,19043.1645,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2022/01/11,19043.1466,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2021/12/14,19043.1415,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H2,Pro,2021/12/14,19043.1415,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2021/11/09,19043.1348,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2021/10/12,19043.1288,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2021/09/14,19043.1237,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2021/08/10,19043.1165,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2021/07/13,19043.111,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,21H1,Pro,2021/06/08,19043.1052,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,20H2,Pro,2022/04/19,19042.1645,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,20H2,Pro,2022/01/11,19042.1466,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2021/05/11,19041.985,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,20H2,Pro,2021/05/11,19041.985,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2021/04/13,19041.928,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,20H2,Pro,2021/04/13,19041.928,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2021/03/09,19041.867,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,20H2,Pro,2021/03/09,19041.867,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2021/02/09,19041.804,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,20H2,Pro,2021/02/09,19041.804,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2021/01/12,19041.746,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,20H2,Pro,2021/01/12,19041.746,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2020/12/08,19041.685,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,20H2,Pro,2020/12/08,19041.685,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,20H2,Pro,2020/11/19,19041.631,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2020/11/10,19041.63,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2020/10/13,19041.572,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2020/09/08,19041.508,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2020/08/11,19041.45,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2020/07/14,19041.388,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
5,0,Error,Microsoft-Windows-Kernel-EventTracing/Admin,Logging,File Switch,Session,Windows 10,2004,Pro,2020/06/09,19041.329,An error was encountered while tracing session '{FileName}' was switching to the '{SessionName}' event log file. Error: {ErrorCode},{FileName} | {SessionName} | {ErrorCode}
